Concept,Prerequisite,label_prereq
Differential equation,Number,1
Exponentiation,Number,1
Asymptote,Line (geometry),1
Descartes' rule of signs,Number,1
Binomial coefficient,Polynomial,1
Partial fraction decomposition,Arithmetic,1
Sine,Geometry,1
Algebraic equation,Mathematics,1
Polygon,Line segment,1
Partial fraction decomposition,Factorization,1
Unit circle,Mathematics,1
Binomial theorem,Addition,1
Rational root theorem,Equality (mathematics),1
Algebraic equation,Equation,1
Algebraic expression,Algebra,1
Polynomial long division,Arithmetic,1
Rational root theorem,Rational number,1
Algebraic expression,Arithmetic,1
Exponential growth,Arithmetic,1
Rotation (mathematics),Mathematics,1
Continuous function,Mathematics,1
Linear inequality,Number,1
Minor (linear algebra),Matrix (mathematics),1
Asymptote,Mathematics,1
Product (mathematics),Mathematics,1
Linear function,Mathematics,1
Factorization,Multiplication,1
Homogeneous polynomial,Arithmetic,1
Partial fraction decomposition,Number,1
Binomial theorem,Polynomial,1
Arithmetic,Mathematics,1
Eccentricity (mathematics),Curve,1
Imaginary number,Number,1
Dependent and independent variables,Function (mathematics),1
Chord (geometry),Circle,1
Parallel (geometry),Line (geometry),1
Trigonometric functions,Mathematics,1
Polynomial,Addition,1
Algebra,Number,1
Sine wave,Mathematics,1
Circle,Geometry,1
Empty sum,Arithmetic,1
Synthetic division,Polynomial long division,1
Inequality (mathematics),Mathematics,1
Multiplicative inverse,Division (mathematics),1
Synthetic division,Mathematics,1
Function composition,Function (mathematics),1
Radius,Line segment,1
Linear equation,Line (geometry),1
Division by zero,Mathematics,1
Natural logarithm,E (mathematical constant),1
Line–line intersection,Point (geometry),1
Inequality (mathematics),Equality (mathematics),1
Square root,Mathematics,1
Slope,Mathematics,1
Unit circle,Curve,1
Imaginary number,Real number,1
Mathematical proof,Mathematics,1
Limit of a function,Function (mathematics),1
Law of sines,Line segment,1
Coordinate system,Geometry,1
Right angle,Angle,1
Common logarithm,Arithmetic,1
Synthetic division,Polynomial,1
Conic section,Cone,1
Right triangle,Point (geometry),1
Algebraic expression,Mathematics,1
Limit of a sequence,Mathematics,1
Formula,Mathematics,1
Exponentiation,Arithmetic,1
Inequality (mathematics),Algebra,1
Binomial coefficient,Binomial theorem,1
Edge,Line (geometry),1
Solution of triangles,Triangle,1
Negative number,Number,1
Triangle,Geometry,1
Polynomial long division,Multiplication,1
Linear inequality,Equality (mathematics),1
Exponentiation,Mathematics,1
Polynomial,Integer,1
Cartesian coordinate system,Coordinate system,1
Cartesian coordinate system,Perpendicular,1
Circular sector,Mathematics,1
Scalar multiplication,Vector (mathematics and physics),1
Scalar (mathematics),Vector (mathematics and physics),1
Analytic geometry,Coordinate system,1
Natural number,Number,1
Binomial coefficient,Number,1
System of linear equations,Linear equation,1
Quadratic function,Function (mathematics),1
Linear equation,Mathematics,1
Fundamental theorem of algebra,Real number,1
Orientation (geometry),Mathematics,1
Fundamental theorem of algebra,Equation,1
Matrix ring,Matrix (mathematics),1
Parallel (geometry),Mathematics,1
Division by zero,Arithmetic,1
Algebra,Mathematics,1
Real line,Geometry,1
